               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  50,            0.021316,              0.0523,           0.0057989,              0.9651,             0.95175,             0.97403,             0.71784,            0.019446,            0.039359,           0.0029899,            0.005149,            0.005149,            0.005149
                  51,            0.021159,            0.051049,           0.0057355,             0.96908,             0.95783,             0.97381,             0.72214,            0.019505,            0.039574,           0.0032373,             0.00505,             0.00505,             0.00505
                  52,            0.021119,            0.051394,           0.0056644,             0.97055,             0.95866,             0.97511,             0.71526,            0.019666,            0.039424,           0.0029504,            0.004951,            0.004951,            0.004951
                  53,             0.02096,            0.050576,           0.0056054,             0.96191,             0.95349,             0.97517,             0.72072,            0.019543,            0.039585,           0.0031307,            0.004852,            0.004852,            0.004852
                  54,             0.02093,            0.051123,           0.0056586,             0.97167,             0.95714,             0.97297,             0.71959,            0.019416,            0.039521,           0.0030953,            0.004753,            0.004753,            0.004753
                  55,            0.020687,             0.04985,           0.0054876,             0.96861,             0.95795,             0.97805,              0.7168,            0.019689,            0.039647,           0.0031665,            0.004654,            0.004654,            0.004654
                  56,            0.020816,            0.050639,           0.0057437,             0.97048,             0.96385,             0.98102,             0.72286,            0.019616,            0.039602,           0.0033282,            0.004555,            0.004555,            0.004555
                  57,            0.020614,            0.050242,           0.0054214,             0.97114,             0.95291,              0.9748,             0.71549,            0.019484,            0.039685,           0.0033215,            0.004456,            0.004456,            0.004456
                  58,            0.020454,            0.051016,           0.0054866,             0.97112,             0.95233,             0.97683,             0.72106,            0.019477,            0.039536,           0.0030365,            0.004357,            0.004357,            0.004357
                  59,            0.020445,            0.049921,           0.0053407,             0.97072,             0.95624,             0.97819,             0.72058,            0.019536,            0.039643,            0.003071,            0.004258,            0.004258,            0.004258
                  60,            0.020183,             0.05004,           0.0052299,             0.97251,             0.95442,             0.97425,             0.71736,            0.019503,            0.039605,           0.0031337,            0.004159,            0.004159,            0.004159
                  61,            0.019955,            0.049931,           0.0050708,             0.96594,             0.95491,             0.97492,              0.7182,             0.01938,            0.039814,           0.0030785,             0.00406,             0.00406,             0.00406
                  62,             0.01997,            0.049477,           0.0049817,             0.96836,             0.95692,             0.97819,             0.72301,            0.019537,             0.03975,           0.0031351,            0.003961,            0.003961,            0.003961
                  63,            0.020005,              0.0501,           0.0050755,             0.97188,             0.96036,             0.98019,             0.72228,            0.019477,            0.039839,            0.003183,            0.003862,            0.003862,            0.003862
                  64,            0.019787,            0.049838,           0.0050704,             0.95855,             0.96338,             0.97762,             0.72133,            0.019474,            0.039892,           0.0030822,            0.003763,            0.003763,            0.003763
                  65,            0.019606,            0.049347,           0.0050135,             0.96645,             0.95846,             0.97877,             0.71608,            0.019637,            0.040044,           0.0030202,            0.003664,            0.003664,            0.003664
                  66,            0.019497,            0.048839,           0.0049221,             0.96703,             0.96185,             0.98041,             0.72293,            0.019617,            0.040039,           0.0031705,            0.003565,            0.003565,            0.003565
                  67,             0.01952,            0.049037,           0.0050382,             0.96903,             0.95997,             0.97792,             0.72228,            0.019331,            0.040246,           0.0031219,            0.003466,            0.003466,            0.003466
                  68,            0.019234,            0.049516,           0.0048267,             0.97028,             0.95414,             0.97346,             0.72066,            0.019649,            0.040257,           0.0031143,            0.003367,            0.003367,            0.003367
                  69,            0.019164,            0.048555,           0.0048052,             0.96917,             0.95581,             0.97462,             0.71209,            0.019625,            0.040521,           0.0030036,            0.003268,            0.003268,            0.003268
                  70,            0.019056,            0.048104,           0.0047403,             0.97082,             0.95704,             0.97391,             0.72007,            0.019449,            0.040096,           0.0031941,            0.003169,            0.003169,            0.003169
                  71,             0.01903,            0.048055,           0.0048449,             0.96688,             0.95766,             0.97471,             0.71924,            0.019594,            0.040351,           0.0031685,             0.00307,             0.00307,             0.00307
                  72,            0.018749,             0.04718,           0.0047494,             0.96771,             0.95339,             0.97304,             0.71689,            0.019635,            0.040292,            0.003245,            0.002971,            0.002971,            0.002971
                  73,            0.018731,            0.047284,           0.0047566,             0.96812,             0.95443,             0.97475,             0.71689,            0.019508,            0.040522,           0.0033538,            0.002872,            0.002872,            0.002872
                  74,            0.018642,            0.046758,           0.0047876,               0.969,             0.96405,             0.97637,             0.71412,            0.019638,            0.040712,           0.0033131,            0.002773,            0.002773,            0.002773
                  75,            0.018491,            0.046868,           0.0045692,             0.96995,             0.96038,             0.97536,              0.7179,            0.019423,            0.040688,           0.0031652,            0.002674,            0.002674,            0.002674
                  76,            0.018417,            0.047312,           0.0046118,             0.96768,             0.96212,             0.97673,             0.71807,            0.019488,            0.040924,            0.003063,            0.002575,            0.002575,            0.002575
