               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  45,            0.016432,           0.0047581,          0.00077033,              0.9463,             0.96798,             0.98688,             0.71249,            0.016865,           0.0034374,             0.00055,            0.005644,            0.005644,            0.005644
                  46,            0.016141,           0.0045281,           0.0010298,             0.90903,             0.91984,             0.96935,             0.66008,            0.017184,           0.0035616,           0.0016508,            0.005545,            0.005545,            0.005545
                  47,            0.015759,           0.0047027,          0.00076097,             0.94283,             0.94675,             0.98201,             0.71295,            0.016122,           0.0035944,           0.0004893,            0.005446,            0.005446,            0.005446
                  48,            0.016184,            0.004571,          0.00060108,             0.92538,             0.96628,              0.9666,              0.6856,            0.016109,           0.0034534,           0.0016118,            0.005347,            0.005347,            0.005347
                  49,            0.015801,           0.0045209,          0.00071028,             0.92788,             0.97698,             0.97861,             0.72586,            0.015981,           0.0034452,           0.0007241,            0.005248,            0.005248,            0.005248
                  50,            0.015476,           0.0044939,          0.00075628,             0.93388,             0.96824,              0.9742,             0.70937,            0.016118,           0.0034601,          0.00074513,            0.005149,            0.005149,            0.005149
                  51,            0.015559,           0.0044343,          0.00067482,             0.93428,              0.9658,             0.97986,             0.70205,            0.016119,            0.003502,          0.00053858,             0.00505,             0.00505,             0.00505
                  52,            0.015448,           0.0043336,          0.00063756,             0.93733,             0.97293,              0.9809,             0.71735,            0.015839,           0.0034782,          0.00053456,            0.004951,            0.004951,            0.004951
                  53,            0.015138,           0.0043879,          0.00053726,             0.92282,             0.98203,             0.98377,             0.71269,            0.016044,           0.0034319,          0.00041339,            0.004852,            0.004852,            0.004852
                  54,            0.015167,           0.0043599,          0.00056228,             0.94904,             0.95794,             0.97279,             0.71486,            0.015905,           0.0034922,          0.00075954,            0.004753,            0.004753,            0.004753
                  55,            0.015096,           0.0042085,          0.00050538,             0.95019,             0.95345,             0.98679,             0.71437,            0.016061,           0.0034513,           0.0004121,            0.004654,            0.004654,            0.004654
                  56,            0.014842,           0.0042332,          0.00054511,             0.92762,             0.98585,             0.97906,             0.70496,            0.015822,           0.0036175,          0.00048349,            0.004555,            0.004555,            0.004555
                  57,            0.014954,           0.0043353,          0.00062593,             0.92321,             0.98344,              0.9821,             0.70455,            0.015719,           0.0035517,           0.0003767,            0.004456,            0.004456,            0.004456
                  58,            0.014627,           0.0043183,          0.00048433,             0.91199,             0.97621,             0.97655,             0.70436,            0.015762,           0.0035223,          0.00068029,            0.004357,            0.004357,            0.004357
                  59,            0.014316,           0.0042082,          0.00053189,             0.93838,             0.96519,             0.97726,             0.71072,            0.015828,           0.0034525,          0.00036935,            0.004258,            0.004258,            0.004258
                  60,            0.014342,           0.0041001,           0.0004221,              0.9327,             0.97584,             0.97714,             0.71155,            0.015745,           0.0035273,          0.00035828,            0.004159,            0.004159,            0.004159
                  61,            0.014531,           0.0042735,          0.00049242,             0.93084,             0.96503,              0.9748,             0.68785,             0.01603,           0.0035749,          0.00035295,             0.00406,             0.00406,             0.00406
                  62,            0.014067,           0.0041448,          0.00058572,             0.94094,             0.94381,             0.98217,             0.69441,            0.015795,           0.0035109,          0.00034621,            0.003961,            0.003961,            0.003961
                  63,            0.014262,           0.0041925,          0.00046396,             0.92807,             0.96413,             0.97448,             0.69706,            0.015649,            0.003441,          0.00031175,            0.003862,            0.003862,            0.003862
                  64,            0.013913,           0.0042744,          0.00049406,             0.91987,             0.96145,             0.97625,             0.70635,             0.01558,            0.003442,          0.00055469,            0.003763,            0.003763,            0.003763
                  65,            0.013711,           0.0041119,          0.00041798,             0.92451,             0.96536,             0.97927,             0.70613,            0.015715,           0.0034592,          0.00037377,            0.003664,            0.003664,            0.003664
                  66,            0.013737,           0.0040772,          0.00048206,             0.92174,             0.95597,              0.9777,             0.69413,            0.015694,           0.0034409,          0.00034164,            0.003565,            0.003565,            0.003565
                  67,            0.013737,           0.0041606,          0.00041856,             0.92914,             0.96866,             0.98098,             0.70638,            0.015602,           0.0033976,           0.0002765,            0.003466,            0.003466,            0.003466
                  68,            0.013455,           0.0040208,          0.00035751,             0.94412,             0.96232,             0.97406,             0.70297,            0.015763,           0.0033943,          0.00048181,            0.003367,            0.003367,            0.003367
                  69,            0.013394,            0.003924,          0.00046952,              0.9404,             0.96768,             0.98333,             0.70611,             0.01548,           0.0034717,          0.00028881,            0.003268,            0.003268,            0.003268
                  70,            0.013334,           0.0040576,          0.00056783,             0.93158,             0.97953,             0.97971,             0.69535,            0.015693,             0.00345,          0.00027787,            0.003169,            0.003169,            0.003169
                  71,            0.013191,           0.0039568,          0.00042208,             0.92819,             0.94944,             0.97787,             0.70028,            0.015832,           0.0035048,          0.00031567,             0.00307,             0.00307,             0.00307
                  72,            0.013009,           0.0038883,          0.00036682,             0.94226,             0.96166,             0.97618,             0.70466,            0.015725,           0.0035258,          0.00041228,            0.002971,            0.002971,            0.002971
                  73,            0.013025,           0.0039428,          0.00032529,              0.9392,             0.96459,             0.97501,             0.70775,            0.015516,           0.0035151,          0.00050189,            0.002872,            0.002872,            0.002872
                  74,            0.012838,           0.0039199,          0.00033637,             0.95136,             0.96357,             0.98037,             0.70117,            0.015474,           0.0034693,          0.00026155,            0.002773,            0.002773,            0.002773
                  75,            0.012558,           0.0037582,          0.00027956,             0.96189,             0.97041,             0.97855,             0.71393,            0.015492,           0.0034814,           0.0002111,            0.002674,            0.002674,            0.002674
                  76,            0.012669,           0.0037755,          0.00028588,             0.94985,             0.97001,              0.9777,             0.71981,            0.015435,           0.0034905,          0.00021635,            0.002575,            0.002575,            0.002575
                  77,            0.012545,           0.0037617,          0.00028107,             0.93451,             0.96825,             0.97418,             0.71892,            0.015296,           0.0035399,          0.00020749,            0.002476,            0.002476,            0.002476
                  78,            0.012447,            0.003784,          0.00029593,             0.94122,             0.97166,             0.97568,             0.71488,            0.015563,           0.0035529,          0.00019352,            0.002377,            0.002377,            0.002377
                  79,            0.012243,           0.0035648,          0.00025432,             0.94908,               0.956,             0.97615,             0.70951,            0.015769,             0.00356,          0.00020779,            0.002278,            0.002278,            0.002278
                  80,            0.012098,           0.0037034,           0.0002584,             0.94689,             0.95261,             0.97535,              0.7207,            0.015438,            0.003532,          0.00018773,            0.002179,            0.002179,            0.002179
                  81,            0.011951,           0.0036729,          0.00024618,              0.9372,              0.9517,             0.97667,             0.71431,            0.015401,           0.0035748,          0.00019623,             0.00208,             0.00208,             0.00208
                  82,            0.011807,             0.00362,          0.00024924,             0.93998,             0.96144,             0.97614,             0.70275,            0.015493,           0.0036839,          0.00021826,            0.001981,            0.001981,            0.001981
                  83,            0.011823,           0.0035677,          0.00029324,             0.93599,             0.96583,             0.97691,             0.71412,            0.015513,           0.0036016,          0.00021307,            0.001882,            0.001882,            0.001882
                  84,            0.011758,           0.0036797,          0.00024137,             0.95132,              0.9584,               0.977,             0.71041,            0.015394,           0.0035702,          0.00017102,            0.001783,            0.001783,            0.001783
                  85,            0.011692,           0.0035857,          0.00026628,             0.92975,             0.97487,             0.97531,             0.71664,            0.015548,            0.003613,          0.00015073,            0.001684,            0.001684,            0.001684
                  86,            0.011547,           0.0036127,          0.00026362,              0.9254,              0.9732,             0.97409,             0.70731,            0.015526,            0.003675,          0.00015649,            0.001585,            0.001585,            0.001585
                  87,              0.0113,           0.0035416,          0.00020186,             0.93172,             0.97164,             0.97623,             0.70562,            0.015421,           0.0036363,          0.00013717,            0.001486,            0.001486,            0.001486
                  88,             0.01129,            0.003512,          0.00021232,             0.93814,             0.97081,             0.97479,             0.70748,            0.015608,           0.0036856,          0.00014182,            0.001387,            0.001387,            0.001387
                  89,            0.011118,           0.0034686,          0.00017739,             0.92708,             0.96235,             0.97531,             0.70595,            0.015643,           0.0036897,           0.0001235,            0.001288,            0.001288,            0.001288
                  90,            0.011082,           0.0035642,          0.00026925,             0.93723,             0.96502,             0.97621,             0.71445,            0.015522,            0.003645,          0.00013693,            0.001189,            0.001189,            0.001189
                  91,            0.010864,           0.0034667,          0.00019395,              0.9283,             0.96396,             0.97425,             0.70056,            0.015338,           0.0036641,          0.00015182,             0.00109,             0.00109,             0.00109
                  92,            0.010813,           0.0033708,          0.00018766,             0.93309,             0.96795,             0.97513,             0.70457,            0.015433,           0.0036964,           0.0001401,            0.000991,            0.000991,            0.000991
                  93,            0.010859,           0.0033949,           0.0002466,             0.93019,             0.97486,             0.97433,             0.70133,            0.015274,           0.0036316,          0.00037404,            0.000892,            0.000892,            0.000892
                  94,            0.010693,           0.0033463,          0.00021397,             0.93656,             0.97162,             0.97585,             0.70111,            0.015355,           0.0036429,          0.00019766,            0.000793,            0.000793,            0.000793
                  95,             0.01054,           0.0033299,          0.00023784,             0.94048,              0.9692,             0.97566,             0.70403,            0.015407,           0.0036503,          0.00021517,            0.000694,            0.000694,            0.000694
                  96,            0.010415,           0.0033044,          0.00018123,              0.9419,             0.96556,              0.9754,             0.71006,            0.015439,           0.0036903,          0.00021787,            0.000595,            0.000595,            0.000595
                  97,            0.010594,           0.0033664,          0.00018913,             0.93813,             0.97061,             0.97618,             0.70764,             0.01532,           0.0036767,          0.00017567,            0.000496,            0.000496,            0.000496
                  98,            0.010376,           0.0032988,          0.00023403,             0.93635,              0.9703,             0.97563,             0.71251,            0.015362,           0.0036719,          0.00019018,            0.000397,            0.000397,            0.000397
                  99,            0.010214,           0.0033418,          0.00014262,              0.9377,             0.96996,             0.97622,             0.71102,            0.015335,           0.0036885,          0.00019015,            0.000298,            0.000298,            0.000298
